ResourceID,card,card_order,other_identifier_content,other_identifier_type
aa15d32e-a137-5c84-93d1-1e49235d6734,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3061,Wikibase
23de63d5-406e-5dc2-9af7-c262d5699ac9,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3062,Wikibase
23de63d5-406e-5dc2-9af7-c262d5699ac9,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_rt109-004065,MIP
f4f1ea35-6773-5e64-adfd-c543757165b5,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3063,Wikibase
f4f1ea35-6773-5e64-adfd-c543757165b5,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/517116,RCE Monuments
f4f1ea35-6773-5e64-adfd-c543757165b5,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb008-002969,MIP
bb255d91-0e7d-53f1-9562-54f62e8ea96a,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3064,Wikibase
f6431dec-8ff4-5547-84a2-ce9959d581ff,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3066,Wikibase
f6431dec-8ff4-5547-84a2-ce9959d581ff,other_identifiers,2,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Bergen_op_Zoom_(gemeente)#Lepelstraat,RCE Monuments
f6431dec-8ff4-5547-84a2-ce9959d581ff,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb045-000635,MIP
c0171b25-75dd-5029-8761-1996ec6c0119,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3067,Wikibase
ba0b60b9-2f62-53bc-8f4a-901b75ac5d07,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3068,Wikibase
ba0b60b9-2f62-53bc-8f4a-901b75ac5d07,other_identifiers,2,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Made,RCE Monuments
ba0b60b9-2f62-53bc-8f4a-901b75ac5d07,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_bk068-000489,MIP
823f9b0b-91fc-5aee-bdbf-7da62bc48b2e,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3069,Wikibase
ea30d598-bf5c-5558-ac63-6072a3beb7d5,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3070,Wikibase
ebad6e25-d010-51cc-89a3-f7622ef6b059,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3071,Wikibase
c04e8bac-4b74-54fd-87da-82338696b882,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3072,Wikibase
bee04007-c499-52c2-b256-48ab711d57d6,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3073,Wikibase
