ResourceID,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Sint Luciaklooster,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,St. Luciaklooster,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Huis van de Heilige Lucia,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Stichting Welzijnscentrum Lucia,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Sint-Luciaklooster,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Huis van de H. Lucia,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Huis van Sint Lucia,Alternative,Nederlands
7fbab965-3fa4-5485-9273-d944ccb14c24,alternate_names,2,Sint Elisabethgasthuis,Alternative,Nederlands
7fbab965-3fa4-5485-9273-d944ccb14c24,alternate_names,2,St. Elisabethgasthuis,Alternative,Nederlands
7fbab965-3fa4-5485-9273-d944ccb14c24,alternate_names,2,Algemeen Burgergasthuis,Alternative,Nederlands
7fbab965-3fa4-5485-9273-d944ccb14c24,alternate_names,2,Sint Elisabeth-gasthuis,Alternative,Nederlands
7fbab965-3fa4-5485-9273-d944ccb14c24,alternate_names,2,Algemeen Burger Gasthuis,Alternative,Nederlands
7fbab965-3fa4-5485-9273-d944ccb14c24,alternate_names,2,Sint Elisabeth Ziekenhuis,Alternative,Nederlands
99f05725-5c7f-5838-82d3-95dc48b7e721,alternate_names,2,Broederhuis Huize Boschlust,Alternative,Nederlands
99f05725-5c7f-5838-82d3-95dc48b7e721,alternate_names,2,Broederhuis Boschlust,Alternative,Nederlands
99f05725-5c7f-5838-82d3-95dc48b7e721,alternate_names,2,Jachthuis Boschlust,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint Margarietenklooster,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Katrientje,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint-Margarietenklooster,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,St. Margarietenklooster,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,St. Margarehtaklooster,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint-Margarethaklooster,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint Margarethaklooster,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Rijke Nonnen,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Dal van Josaphat,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Huize St. Catharina,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Huize Sint-Catharina,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Huize Sint Catharina,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Zorgcentrum Catharina,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,’t Ketrientje,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint Katharina Verbeterhuis,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint Katharina Gasthuis,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,Sint Catharina Gasthuis,Alternative,Nederlands
c6da3e83-5c38-5ee4-be71-3a851e2deba2,alternate_names,2,St. Margrietenklooster,Alternative,Nederlands
