card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,resource_id,other_identifier_type,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Brabant Cloud ARK Identifier,Hendrik Valk junior,"['H. Valk Jr.', 'Hendrik Valk jr.', 'H. Valk Junior', 'Hendrikus Willem Johannes Valk junior']",,,,,,
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,H. Valk Jr.,Alternative,Nederlands
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Hendrik Valk jr.,Alternative,Nederlands
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,H. Valk Junior,Alternative,Nederlands
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Hendrikus Willem Johannes Valk junior,Alternative,Nederlands
Actors,0,0f7d429b-a97f-538b-9493-bb7f7c48ebee,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Brabant Cloud ARK Identifier,Jozef van Nazareth,"['Sint Josef', 'Sint-Jozef', 'Sint Joseph', 'Sint-Jozef Arbeider', 'Sint-Josef', 'Sint-Joseph', 'Heilige Jozef', 'Sint Jozef']",https://www.wikidata.org/entity/Q128267,Wikidata,,,,
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint Josef,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint-Jozef,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint Joseph,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint-Jozef Arbeider,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint-Josef,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint-Joseph,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Heilige Jozef,Alternative,Nederlands
Alternate names,1,0f7d429b-a97f-538b-9493-bb7f7c48ebee,,,,,,,https://n2t.net/ark:/15052/784328f5-8120-40e4-b084-26993f2a6511,Sint Jozef,Alternative,Nederlands
Actors,0,0fe068b7-a978-5f81-97cb-4f5ab35e4e5f,https://n2t.net/ark:/15052/db3612f1-ae05-4e04-8df6-053aa9869ac2,Brabant Cloud ARK Identifier,Johannes Baptist de la Salle,"['Jan Baptist de la Salle', 'J.B. de La Salle', 'Jean-Baptiste de La Salle']",,,,,,
Alternate names,1,0fe068b7-a978-5f81-97cb-4f5ab35e4e5f,,,,,,,https://n2t.net/ark:/15052/db3612f1-ae05-4e04-8df6-053aa9869ac2,Jan Baptist de la Salle,Alternative,Nederlands
Alternate names,1,0fe068b7-a978-5f81-97cb-4f5ab35e4e5f,,,,,,,https://n2t.net/ark:/15052/db3612f1-ae05-4e04-8df6-053aa9869ac2,J.B. de La Salle,Alternative,Nederlands
Alternate names,1,0fe068b7-a978-5f81-97cb-4f5ab35e4e5f,,,,,,,https://n2t.net/ark:/15052/db3612f1-ae05-4e04-8df6-053aa9869ac2,Jean-Baptiste de La Salle,Alternative,Nederlands
